active;sportivo
aggressive;aggressivo
alive;vivo
amusing;divertente
ancient;antico
angry;arrabbiato
anxious;ansioso
artistic;artistico
attentive;attento
bad;cattivo
beautiful;bello
better;megliore
big;grande
blazing/bright;sfolgorante
bold/daring;audace
bored;annoiato
boring/tedious;noioso
broken;infranto
busy;impegnato/occupato
calm/quiet;tranquillo
calm;calmo
capable/talented;bravo
carefree;disinvolto
careful/cautious;prudente
cheap;economico
cheeky;sfacciato
childish;puerile
closed;chiuso
cloudy;nuvoloso
colorful;colorato
confidential;confidenziale
courageous;coraggioso
courteous/kind;cortese
crazy;pazzo
crushed/shattered;frantumato
curious;curioso
daily;quotidiano
dangerous;pericolose
dark;scuro
dead;morto
deep;profondo
delicious;delizioso
destroyed;distrutto
detestable/hateful/odious;odioso
difficult;difficile
disappointed;deluso
dishonest;disonesto
dry;secco
dynamic;dinamico
easy;facile
elegant;elegante
embarrassed;imbarazzato
empty;vuoto
enormous/huge/tremendous;enorme
excellent;eccellente
exciting;emozionante
exhausted;sfinito
expensive;caro
faithful;fideli
fast;veloce
fat;grasso
favorite;preferito
first;primo
foreign;estero
formal;formale
fresh;fresco
fried;fritto
friendly;amichevole
full;peino
funny;buffo
futile;futile
gaudy;sgargiante
generous;generoso
glad;contento
good;buono
half;mezzo
happy;allegro
happy;felice
hard;duro
hardworking;diligente
hasty;frettoloso
healthy;sani
honest;onesto
hopeful;speranzoso
hostile;ostile
humble;umile
humid;umido
hungry;affamato
important;importante
independent;indipendente
informal;informale
insincere;falso
intelligent;intelligente
interesting;interessante
jealous;geloso
kind;gentile
large built;robusto
last;ultimo
lazy;pigro
left;sinistro
light;chiaro
light;leggero
long;lungo
lucky;fortunato
luxurious;lussurioso
mean;antipatico
mixed;misto
moody;lunatico
naive;ingenuo
nervous;nervoso
new;nuovo
next;prossimo
nice;simpatico
noisy;rumoroso
nostalgic;nostalgico
obstinate;ostinato
old;anziano
old;vecchio
open;aperto
original;originale
other;altro
patient;paziente
perfect;perfetto
persistent;persistente
pleasant;piacevole
poor;povero
pretty;carino
proud;orgoglioso
punctual;puntuale
quiet;zitto
rainy;piovoso
raw;grezzo
religious;religioso
rich;ricco
right (direction);destro
right;giusto
rough;ruvido
rude;scortese
sad;triste
safe;salvo
salty;salato
same;stesso
scared;spaventato
secure;sicuro
selfish;egoisto
sensitive;sensibile
serious;serio
shameless;spudorato
short;basso
shrewd;furbo
shy;timido
sick;malatto
silky;setoso
silly;sciocco
simple;semplice
sincere;sincero
sinful;peccaminoso
skilled;capace
slender;slanciato
slim;snello
slow;lento
small;piccolo
smelly;puzzolente
soft;soffice
sour;acido
stingy;avaro
stormy;burrascoso
straight;diritto
stressed;stressato
strict;severo
strong;forte
studious;studioso
stupid;stupido
sultry;afosa
sunny;soleggiato
sweet;dolce
tall;alto
terrible;terribile
thin;magro
tired;stanco
true;vero
trustworthy;affidabile
ugly;brutto
unfaithful;infedeli
unfavorable;sfavorevole
unlucky;sfortunato
useful;utile
useless;inutile
weak;debole
weird;pazzesco
well-known;noto
wet;bagnato
wide;ampio
worse;peggio
worst;peggiore
wrong;sbagliato
young;giovane
