I;io
a;un/una
about;circa
accurately/completely/well;bene
across;attraverso
after;seguente
again;ancora
against;contro
all;tutto
almost;quasi
among;tra
and;e
any;qualunque
anyway/however/in any case/though;comunque
as;come
at that time/then;allora
at;a
because/for;perché
because;perché
before;prima
between;tra
but/except;eccetto
by;vicino
do;fare
down;abbasso
east;est
ended/over;terminato
enough;abbastanza
even/exactly/precisely;esattamente
ever/never;mai
ever;semper
every;ogni
far;lontano
forward;inoltrare
from;da
get;ottenere
give;dare
go;andare
have;avere
he;lui
here;qua
how;come
if;se
in order that/so;perché
in;in
keep;tenere
let;permettere
little;piccolo
make;fare
may;potere
much;molto
near;vicino
no;no
north;nord
not;non
now;adesso
of;di
off;spento
on;su
only;unico
or;oppure
other;altro
out;fuori
please;per favore
put;mettere
quite;alquanto
say;dire
see;vedere
seem;sembare
send;inviare
some;qualche
south;sud
still;ancora
such;simile
take;prendere
than;che
that;che
the;il
there;là
this;questo
through;attraverso
till;fino
to be;essere
to come;venire
to;a
together;insieme
tomorrow;domani
under;sotto
up;su
very;molto
west;ovest
what;che/cosa
when;quando
where;dove
while;mentre
who;chi
why;perché
will;volontà
with;con
yes;sì
yesterday;ieri
you;tu
