a few/any/some;qualche
a lot (lit: a sack);un sacco
a lot/many;parecchia
able/capable/skilled;capace
about;circa
absolute;assoluto
account;conto
act;atto
action;azione
activity;attività
actor;attore
advice/reccommendation/suggestion;consiglio
after;dopo
again/still/yet;ancora
against;contro
agreement;accordo
ahead/forward;avanti
air;aria
all/each/every;ogni/tutti
already;gia
also;anche
always;sempre
american;americano
ancient/antique;antico
animal;animale
any/common/just any;qualsiasi
anybody;chiunque
anybody;nessuno
anyhow/anyway;comunque
anymore;piu
anywhere/everywhere;ovunque
appearance;aspetto
arm;braccio
around;attorno
art;arte
article;articolo
as soon as/just;appena
as/because/for;poiche
at least;almeno
attention;attenzione
attitude;atteggiamento
author;autore
authority;autorità
automobile/car;automobile
away/far/far away;lontano
backyard/courtyard;cortile
bad/wicked;cattivo
base/basis;base
bathroom;bagno
battle;battaglia
beast;bestia
beautiful/nice;bello
beauty;bellezza
before;prima
behind;dietro
beyond;oltre
blonde;biondo
body;corpo
boss/chief;capo
both/either;entrambi
brief/short;breve
bright/clear;chiaro
building/construction;costruzione
business;affare
but;ma
by now;ormai
careful;attento
case;caso
catholic;cattolico
caught/taken;presa
cause;causa
center;centro
central;centrale
certain/sure;certo
certainly;certamente
character;carattere
characteristic;caratteristico
child;bambino
christian;cristiano
church;chiesa
citizen;cittadino
city/town;città
civil;civile
civilization;civiltà
claim/law;diritto
class/course/progress;corso
class;classe
clear;chiare
clothing/dress;abito
coast;costa
coffee;caffè
color;colore
come on/really;dai
comfortable;comodo
commerce/trade;commercio
commission/errand;commissione
common/municipality;comune
communication;comunicazione
companion;compagno
company;compagnia
comparison;confronto
completely;completamente
concept;concetto
condition;condizione
congress;congresso
conscience;coscienza
consequence;conseguenza
contact;contatto
content/happy;contento
continuous;continuo
contrary/opposite;contrario
control;controllo
corner;angolo
countryside;campagna
courage;coraggio
cover charge (at a restaurant);coperto
crisis;crisi
cross;croce
culture;cultura
current;attuale/corrente
dark;buio
dear/expensive;caro
decision;decisione
defense;difesa
destine;destino
difference;differenza
difficult;difficile
difficulty;difficoltà
direct;diretto
direction;direzione
director;direttore
discourse/speech/talk;discorso
dog;cane
down;giù
each one;ciascuno
each one;ognuno
empty;vuoto
enough;abbastanza/basta
environment;ambiente
even;addirittura
ever/never;mai
example;esempio
except;tranne
farmer/peasant;contadino
fat;grasso
few;pochi
field;campo
football (soccer);calcio
foreigner;straniero
forest;bosco
friend;amico
from;da
full;pieno
funny;buffo
giving;dando
god;dio
good/well;bene/buono
good;bravo
guilt;colpa
hair (single hair);capello
happens;succede
hat;cappello
heart;cuore
help;aiuto
here;qui
hill;collina
hit/impact;colpo
home/house;casa
honey/sweaty;tesoro
hopefully;fiduciosamente
horse;cavallo
hot/warm;caldo
hotel;albergo
how;come
i don't know;boh
i want;voglio
i will explain;spieghero
i will put;mettero
i would like;vorrei
immediately;subito
in front of;davanti
indeed;appunto
inside/within;dentro
key;chiave
kilometer;chilometro
kitchen;cucina
knowledge;conoscenza
large/wide;ampio
law;legge
lawyer;avvocato
light blue;azzurro
lost;perduto/perso
love;amore
many/plenty;parecchio
maybe/perhaps;magari
meat;carne
moment;attimo
money;denaro
moreover;inoltre
mouth;bocca
namely/or/rather/that is;ovvero
near;accanto
neck;collo
need;bisogno
nobody;nessuno
noise;chiasso
not at all;affatto
nothing;nulla
now;adesso/ora
of;di
often;spesso
on the contrary;anzi
on;sopra/su
opposite;di fronte
other;altro
outside;fuori
over there;laggiù
paper;carta
put/put in;messo
race/run;corsa
rather;piuttosto
really/truly;davvero
reservation;prenotazione
right;destro
room;camera
same;stesso
short;basso
sky;cielo
so/then/therefore/well then;allora/dunque/percio/pertanto/quindi
someone;qualcuno
sorry;scusi/spiacente
soul;anima
still;buono
straight;diritto
subject/topic;argomento
subtitles;sottotitoli
tall;alto
that is/therefore;cioe
that is;cioè
that/what;che
the bill/the check;il conto
the bottom;il fondo
the challenge;la sfida
the curse word/the swear word;la parolaccia
the left;la sinistra
the only;l'unica
the place;il luogo/il posto
the power;il potere
the right;la destra
the side;il lato
the top;la cima
then;poi
there;ci/la/li
thin;magro
thing/what;cosa
through;attraverso
to;a
today;oggi
tomorrow;domani
tooth;dente
towards;verso
treatment;cura
tree;albero
ugly;brutto
unfortunately;purtroppo
very much;assai
wait;attesa
water;acqua
weapon;arma
well (filler word);mah (filler word)
wherever;dovunque
white;bianco
who knows;chissà
who;chi
wish;desiderio
with;con
wonderful; che meraviglia
wonderful; meraviglioso
world;mondo
year;anno
yesterday;ieri
