aluminum;alluminio
bronze;bronzo
camouflage;camuffamento
canvas;tela
carbon fiber;fibra di carbonio
carbon;carbonio
ceramic;ceramica
charcoal;carbone
clay;agrilloso
cloth;panno/stoffa
coal;carbone
conductor;conduttore
copper;rame
cork;sughero
cotton;cotone
cover;copertura
crystal;cristallo
cushion;cuscino
fiber;fibra
fiberglass;lana di vetro
filling/stuffing;ripieno
glass;vetro
gold;oro
insulator;isolante
lace;pizzo
leather;pelle
maple;acero
matte;opaca
mesh;maglia
metal;metallo
nickel;nichel
oak;quercia
padding/upholstery;imbottitura
paint;vernice
pine;pino
plaid;plaid
plastic;plastica
polish;lucidatura/smalto/vernice
polyester;poliestere
polymer;polimero
regular;regolare
rubber;gomma
seam;cucitura
silicone;silicone
silk;seta
silver;argento
smooth;liscio
solder;lega per saldatura
soot;fuliggine
steel;acciaio
string;corda
texture;struttura
tin;latta
transparent;trasparente
twine;spago
weld;saldatura
wire;filo
wood;legna
yarn;filato
