double;doppio
eight;otto
eighteen;diciotto
eighth;ottavo
eighty;ottanta
eleven;undici
fifteen;quindici
fifth;quinto
fifty;cinquanta
first;primo
five;cinque
forty;quaranta
four;quattro
fourteen;quattordici
fourth;quarto
half;meta
half;mezzo
hundred;centinaio
nine;nove
nineteen;diciannove
ninth;nono
ninty;novanta
one;uno
second;secondo
seven;sette
seventeen;diciassette
seventh;settimo
seventy;settanta
six;sei
sixteen;sedici
sixth;sesto
sixty;sessanta
ten;dieci
tenth;decimo
third;terzo
thirteen;tredici
thirty;trenta
three;tre
triple;triplo
twelve;dodici
twenty;venti
two;due
zero;zero
