to abandon;abbandonare
to abolish/to drop/to kill;sopprimere
to accept;accettare
to accompany;accompagnare
to achieve/to carry out;compiere
to acquire;acquisire
to add;aggiungere
to admit;ammettere
to advance/to go forward;avanzare
to affirm/to state;affermare
to agree/to consent;consentire
to announce;annunciare
to annul/to cancel;annullare
to appear/to seem;sembrare
to appear;apparire
to arm;armare
to arrest/to stop;arrestare
to arrive;arrivare
to ask;chiedere
to assist;assistere
to assume/to hire;assumere
to assure/to ensure/to insure;assicurare
to attack;attaccare
to attempt/to try;provare/tentare
to be able;potere
to be enough/to suffice;bastare
to be;essere
to beat/to whip/to whisk;sbattere
to beat;battere
to believe;credere
to belong;appartenere
to bite;mordere
to book/to reserve;prenotare
to break off/to smash/to suppress;stroncare
to bring/to carry;portare
to broadcast/to diffuse/to spread;diffondere
to build;costruire
to burn;bruciare
to buy;comprare
to call off/to cancel;disdire
to call;chiamare
to cancel/to erase;cancellare
to catch;catturare
to celebrate;celebrare
to change;cambiare
to charge/to exact;esigere
to chase/to hunt;cacciare
to check/to monitor;controllare
to check/to verify;verificare
to chew;masticare
to choose/to elect;scegliere
to clear/to remove;sgomberare
to close;chiudere
to come across/to meet up;imbatersi
to come near;avvicinare
to come;veniere
to compose;comporre
to concede;concedere
to conclude;concludere
to conduct/to lead;condurre
to confess;confessare
to confront/to tackle;affrontare
to confuse;confondere
to conserve/to preserve;conservare
to consider;considerare
to constitute;costituire
to consume;consumare
to contain;contenere
to continue/to last/to persist;durare
to continue;continuare
to contract/to form;contrarre
to convince;convincere
to corrode/to damage/to notch;intaccare
to count;contare
to cover;coprire
to create;creare
to cross;attraversare
to cut;tagliare
to damage/to diminish/to disable/to impair;menomare
to damage/to harm;danneggiare/ledere
to damage/to hurt/to injure;lesionare
to decide;decidere
to declare;dichiarare
to dedicate;dedicare
to defend;difendere
to demonstrate;dimostrare
to depend;dipendere
to describe;descrivere
to design;progettare
to desire/to wish;desiderare
to deteriorate/to go bad;deteriorare/incrinare
to determine;determinare
to direct;dirigere
to discuss/to talk about something;discutere
to dislodge/to remove;rimuovere
to distance oneself/to remove/to send away;allontanare
to do/to make;fare
to draw;disegnare
to dream;sognare
to dress;vestire
to drink;bere
to dry;asciugare
to eat;mangiare
to eliminate;eliminare
to experience/to know/to meet;conoscere
to experiment;sperimentare
to explain;spiegare
to face;affrontare
to fail;fallire
to fall;cadere
to film;filmare
to find;trovare
to fire/to shoot;sparare
to fit/to put on;calzare
to follow;seguire
to force;costringere
to forget;dimenticare
to get;ottenere
to give;dare
to go/to travel;andare
to grab;afferrare/agguantare
to grow;crescere
to happen/to occur;succedere
to happen/to take place;accadere
to happen;avvenire
to happen;capitare
to harm/to injure;nuocere
to have lunch;pranzare
to have to do/to owe;dovere
to have;avere
to help;aiutare
to hide;nascondere
to hit;colpire
to hold;tenere
to hope;sperare
to hug;abbracciare
to ignite/to turn on;accendere
to increase;aumentare
to indicate/to point/to show;indicare
to inhabit/to live;abitare
to insinuate/to suggest;insinuare
to insult/to offend/to violate;offendere
to interpret;interpretare
to jump/to leap;saltare
to keep;tenere
to kill;ammazzare/uccidere
to kiss;baciare
to kneel;inginocchiarsi
to know/to learn/to understand;sapere
to know;conoscere
to lean;appoggiare
to lie;mentire
to lift/to rise;alzare
to light;illuminare
to listen;ascoltare
to look/to watch;guardare
to lose/to lose one's way;perdere
to love;amare
to lower/to reduce;abbassare
to lower;ridurre
to meet;incontrare
to miss;mancare
to mistake;sbagliare
to need;bisognare
to notice;accorgersi
to offer/to propose;proporre
to open;aprire
to place;mettere
to promise;promettere
to pull;tirare
to raise/to remove/to take off;levare
to read;leggere
to receive;ricevere
to rent;noleggiare
to report/to tell;raccontare
to rest;riposare
to restart;riavviare
to rotate/to turn;girare
to ruin/to spoil;guastare
to run;correre
to sample/to taste;assaggiare
to say;dire
to search;cercare
to see;vedere
to send;mandare
to sing;cantare
to slap/to smack;schiaffeggiare
to sleep;dormire
to speak/to talk;parlare
to spit;sputare
to stab;pugnalare
to start;cominciare
to stay;stare
to steal;rubare
to suggest;suggerire
to surprise;sorprendere
to take care of;badare
to test/to try out;collaudare
to think;pensare
to throw away;buttare
to time;cronometrare
to understand;capire
to understand;comprendere
to wait;aspettare
to wait;attendere
to wake;svegliare
to walk;camminare
to want;volere
to warn;avvertire
to waste;sciupare
to wear;indossare
to welcome;accogliere
